type,name,amount,rate,duration,category,fixed_float,float_share,repricing_bucket,deposit_beta,stability,convexity
asset,Loan 40,559384.58,0.066,21,LOANS,float,0.7,1-3y,,,
asset,Loan 41,3907242.99,0.0445,31,LOANS,fixed,0.0,6-12m,,,
asset,Loan 42,1738979.13,0.0494,11,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 43,5925206.11,0.058,47,AFS,float,0.83,6-12m,,,0.0674
asset,Loan 44,3850811.76,0.0815,7,LOANS,fixed,0.0,1-3m,,,
asset,Loan 45,300963.2,0.0786,48,LOANS,fixed,0.0,5+y,,,
asset,Loan 46,2289013.65,0.0803,37,LOANS,fixed,0.0,3-5y,,,
asset,Loan 47,1994637.44,0.0722,82,LOANS,float,0.71,<1m,,,
asset,Cash,2279048.43,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 49,7117109.53,0.0456,50,AFS,float,0.56,1-3m,,,-0.0315
asset,AFS Bond 50,1071889.56,0.0422,73,AFS,fixed,0.0,3-5y,,,-0.4541
asset,AFS Bond 51,2651271.28,0.0393,35,AFS,fixed,0.0,6-12m,,,
asset,Loan 52,1503211.1,0.0316,58,LOANS,fixed,0.0,1-3m,,,
asset,Loan 53,2947225.39,0.0865,15,LOANS,fixed,0.0,1-3m,,,
asset,Loan 54,1473726.82,0.0551,38,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 55,5286386.4,0.0347,81,LOANS,float,0.86,5+y,,,
asset,Loan 56,280766.0,0.0775,69,LOANS,fixed,0.0,6-12m,,,
asset,Loan 57,3871893.97,0.0746,20,LOANS,fixed,0.0,3-5y,,,
asset,Loan 58,3165165.7,0.0311,30,LOANS,fixed,0.0,5+y,,,
asset,Cash,1348615.75,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 60,1684241.01,0.0831,9,LOANS,fixed,0.0,6-12m,,,
asset,Loan 61,1931389.26,0.0492,18,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 62,2405201.89,0.0303,61,AFS,fixed,0.0,1-3y,,,
asset,Mortgage 63,3181202.31,0.0254,347,LOANS,float,0.5,3-5y,,,
asset,AFS Bond 64,5158839.99,0.0593,11,AFS,float,0.5,<1m,,,-0.1973
asset,Loan 65,3606169.89,0.0303,49,LOANS,float,0.75,3-6m,,,
asset,Loan 66,3478768.0,0.0848,58,LOANS,fixed,0.0,<1m,,,
asset,Loan 67,2651515.19,0.0669,12,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 68,3257669.44,0.0547,319,LOANS,fixed,0.0,3-6m,,,
asset,Cash,1494024.7,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 70,1299528.49,0.0644,63,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 71,1828005.2,0.0578,353,LOANS,float,0.74,5+y,,,
asset,Loan 72,3165971.03,0.0478,72,LOANS,float,0.26,3-6m,,,
asset,Loan 73,3177416.89,0.0648,24,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 74,2472037.51,0.0586,159,LOANS,float,0.6,1-3m,,,
asset,AFS Bond 75,1312661.51,0.0528,43,AFS,fixed,0.0,5+y,,,
asset,Loan 76,3882618.17,0.0543,58,LOANS,fixed,0.0,1-3y,,,
asset,Mortgage 77,5950113.24,0.0436,294,LOANS,float,0.65,5+y,,,
asset,Loan 78,3588108.47,0.0685,33,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 79,5973459.38,0.0314,226,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 80,5539300.07,0.0525,347,LOANS,fixed,0.0,5+y,,,
asset,Loan 81,3311337.35,0.0471,50,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 82,1383539.6,0.0214,76,AFS,float,0.54,5+y,,,-0.0584
asset,AFS Bond 83,1604317.78,0.0416,24,AFS,float,0.68,6-12m,,,-0.1443
asset,Mortgage 84,1467486.97,0.0475,97,LOANS,float,0.44,5+y,,,
asset,Loan 85,2334817.43,0.0785,24,LOANS,fixed,0.0,5+y,,,
asset,Loan 86,2208317.61,0.0643,38,LOANS,fixed,0.0,5+y,,,
asset,Loan 87,1214778.82,0.0625,81,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 88,6873226.54,0.0272,9,AFS,fixed,0.0,5+y,,,-0.3334
asset,Cash,1248201.59,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 90,224750.66,0.0811,55,LOANS,float,0.62,<1m,,,
asset,Cash,380281.47,0.0,0,CASH,float,1.0,<1m,,,
asset,Cash,1029249.84,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 93,508613.6,0.0416,9,LOANS,float,0.78,<1m,,,
asset,AFS Bond 94,3313935.79,0.0175,83,AFS,float,0.36,<1m,,,0.4557
asset,AFS Bond 95,2910445.87,0.0354,72,AFS,fixed,0.0,1-3m,,,
asset,AFS Bond 96,7620677.83,0.0439,12,AFS,fixed,0.0,3-5y,,,
asset,Loan 97,2622510.95,0.0462,82,LOANS,float,0.51,3-6m,,,
asset,Loan 98,421091.6,0.0866,57,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 99,5535450.69,0.0418,17,AFS,float,0.31,3-5y,,,-0.4102
asset,AFS Bond 100,5937411.25,0.0522,26,AFS,float,0.95,1-3y,,,-0.4087
asset,Mortgage 101,4008990.96,0.0585,328,LOANS,float,0.22,3-5y,,,
asset,Loan 102,455200.76,0.0417,64,LOANS,fixed,0.0,1-3m,,,
asset,Loan 103,704129.55,0.0859,27,LOANS,float,0.7,1-3m,,,
asset,Loan 104,3851854.01,0.0365,65,LOANS,fixed,0.0,<1m,,,
asset,Loan 105,3985221.28,0.0845,16,LOANS,fixed,0.0,1-3y,,,
asset,Loan 106,1643352.29,0.0431,71,LOANS,float,0.37,3-5y,,,
asset,Loan 107,1977365.3,0.0628,30,LOANS,float,0.46,1-3m,,,
asset,Loan 108,3587322.06,0.0627,12,LOANS,float,0.39,3-5y,,,
asset,Cash,2174939.15,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 110,735234.3,0.0537,18,LOANS,fixed,0.0,6-12m,,,
asset,Loan 111,3980729.64,0.0442,38,LOANS,fixed,0.0,5+y,,,
asset,Loan 112,1987512.51,0.0365,65,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 113,5504572.67,0.0227,15,AFS,fixed,0.0,<1m,,,0.1485
asset,AFS Bond 114,5292968.49,0.0545,19,AFS,fixed,0.0,3-5y,,,0.3448
asset,Loan 115,2173813.06,0.0884,79,LOANS,fixed,0.0,1-3y,,,
asset,Loan 116,3353040.14,0.0771,60,LOANS,float,0.36,5+y,,,
asset,AFS Bond 117,7060499.4,0.0393,71,AFS,fixed,0.0,1-3m,,,-0.4043
asset,Loan 118,3984477.25,0.0545,63,LOANS,float,0.36,3-5y,,,
asset,Loan 119,3185309.21,0.0653,21,LOANS,float,0.48,6-12m,,,
asset,Loan 120,432137.99,0.0817,57,LOANS,float,0.37,1-3y,,,
asset,AFS Bond 121,1599081.29,0.0507,54,AFS,float,0.84,1-3y,,,
asset,Loan 122,2703860.06,0.0403,50,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 123,1430945.64,0.0397,231,LOANS,float,0.21,1-3y,,,
asset,Cash,2348941.03,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 125,3024673.43,0.0275,327,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 126,1806610.47,0.0592,47,AFS,fixed,0.0,1-3y,,,-0.0638
asset,Loan 127,1935557.74,0.0657,77,LOANS,fixed,0.0,1-3y,,,
asset,Loan 128,2791075.59,0.0441,8,LOANS,float,0.75,1-3m,,,
asset,Loan 129,3690626.83,0.0811,83,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 130,4311567.9,0.0471,209,LOANS,float,0.56,3-5y,,,
asset,Loan 131,3553466.44,0.0503,16,LOANS,fixed,0.0,3-6m,,,
asset,Loan 132,2579050.22,0.0605,62,LOANS,fixed,0.0,<1m,,,
asset,Loan 133,880360.73,0.0837,67,LOANS,float,0.51,1-3m,,,
asset,Loan 134,3894016.42,0.0412,15,LOANS,float,0.39,1-3y,,,
asset,Loan 135,2585712.14,0.0884,69,LOANS,float,0.63,6-12m,,,
asset,Loan 136,3456690.31,0.0645,25,LOANS,float,0.55,5+y,,,
asset,AFS Bond 137,2900872.08,0.041,10,AFS,float,1.0,5+y,,,0.06
asset,Mortgage 138,2591269.29,0.0462,181,LOANS,float,0.65,3-6m,,,
asset,Loan 139,1223443.42,0.0318,55,LOANS,float,0.73,6-12m,,,
asset,Mortgage 140,2659384.66,0.0428,75,LOANS,fixed,0.0,3-5y,,,
asset,Loan 141,1262468.93,0.0625,40,LOANS,float,0.8,3-6m,,,
asset,Loan 142,2189622.53,0.0576,51,LOANS,float,0.34,5+y,,,
asset,AFS Bond 143,2706229.07,0.0437,74,AFS,fixed,0.0,3-5y,,,-0.1093
asset,Mortgage 144,2346262.35,0.0396,159,LOANS,fixed,0.0,1-3y,,,
asset,Cash,2317050.84,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 146,3051395.52,0.0224,47,AFS,fixed,0.0,1-3m,,,
asset,Loan 147,1483974.17,0.0894,49,LOANS,float,0.32,6-12m,,,
asset,Loan 148,2386685.98,0.0542,34,LOANS,fixed,0.0,3-6m,,,
asset,Loan 149,3170393.8,0.0522,70,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 150,2956096.57,0.0383,257,LOANS,float,0.56,5+y,,,
asset,Mortgage 151,1078162.05,0.036,207,LOANS,float,0.74,5+y,,,
asset,Loan 152,228888.85,0.0484,71,LOANS,fixed,0.0,5+y,,,
asset,Mortgage 153,5631593.11,0.0257,144,LOANS,float,0.62,<1m,,,
asset,Loan 154,3365493.21,0.05,40,LOANS,fixed,0.0,5+y,,,
asset,Loan 155,3386538.71,0.0426,43,LOANS,float,0.26,6-12m,,,
asset,Loan 156,3344877.5,0.0421,28,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 157,2072337.99,0.041,181,LOANS,fixed,0.0,5+y,,,
asset,Loan 158,3435925.45,0.0327,25,LOANS,float,0.87,3-5y,,,
asset,AFS Bond 159,6517868.97,0.0278,10,AFS,fixed,0.0,5+y,,,-0.2968
asset,Loan 160,1935205.3,0.0669,81,LOANS,fixed,0.0,1-3y,,,
asset,Loan 161,428540.85,0.074,67,LOANS,fixed,0.0,<1m,,,
asset,Loan 162,693148.39,0.0807,23,LOANS,float,0.48,3-6m,,,
asset,Mortgage 163,5564464.27,0.0588,226,LOANS,float,0.24,5+y,,,
asset,AFS Bond 164,4298295.77,0.0507,41,AFS,float,0.68,3-6m,,,
asset,AFS Bond 165,1536642.97,0.0468,41,AFS,float,0.99,1-3y,,,0.3147
asset,Mortgage 166,4664439.01,0.0411,222,LOANS,float,0.76,5+y,,,
asset,Mortgage 167,4068239.1,0.0289,215,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 168,7757257.97,0.0516,9,AFS,float,0.99,1-3m,,,
asset,AFS Bond 169,546931.67,0.0168,45,AFS,fixed,0.0,3-6m,,,
asset,Mortgage 170,3931656.64,0.0639,181,LOANS,fixed,0.0,1-3m,,,
asset,Mortgage 171,5129087.21,0.0696,226,LOANS,fixed,0.0,5+y,,,
asset,Loan 172,991706.91,0.0494,32,LOANS,float,0.22,3-5y,,,
asset,Mortgage 173,3777730.25,0.0291,205,LOANS,fixed,0.0,3-6m,,,
asset,Loan 174,2175274.24,0.067,68,LOANS,float,0.61,1-3m,,,
asset,Loan 175,3431299.75,0.0894,60,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 176,6416207.35,0.0474,25,AFS,float,0.75,3-5y,,,0.2174
asset,Loan 177,1591917.61,0.0609,53,LOANS,fixed,0.0,3-6m,,,
asset,Loan 178,3843028.04,0.0615,75,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 179,6027846.32,0.0236,22,AFS,fixed,0.0,1-3m,,,
asset,Mortgage 180,5393320.11,0.0523,90,LOANS,float,0.64,6-12m,,,
asset,Mortgage 181,5427410.67,0.046,141,LOANS,float,0.38,1-3m,,,
asset,Mortgage 182,3315930.44,0.0212,301,LOANS,fixed,0.0,6-12m,,,
asset,Loan 183,530949.18,0.0574,50,LOANS,fixed,0.0,6-12m,,,
asset,Loan 184,1189294.53,0.0884,54,LOANS,float,0.54,1-3m,,,
asset,AFS Bond 185,7566032.94,0.0296,71,AFS,fixed,0.0,5+y,,,
asset,AFS Bond 186,5523381.73,0.0354,19,AFS,fixed,0.0,6-12m,,,-0.2906
asset,Loan 187,3502315.36,0.0731,66,LOANS,fixed,0.0,1-3m,,,
asset,Loan 188,2812434.8,0.0419,78,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 189,1930742.21,0.0619,226,LOANS,fixed,0.0,1-3m,,,
asset,Loan 190,2391262.67,0.064,58,LOANS,fixed,0.0,1-3m,,,
asset,Cash,1858732.31,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 192,5429353.27,0.0413,76,AFS,float,0.47,1-3m,,,0.4756
asset,Loan 193,832942.54,0.0692,79,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 194,2023898.8,0.04,21,AFS,float,0.49,6-12m,,,
asset,Mortgage 195,3315137.23,0.0572,261,LOANS,float,0.35,3-6m,,,
asset,Loan 196,274329.18,0.05,69,LOANS,float,0.6,1-3y,,,
asset,Mortgage 197,1582394.53,0.0647,352,LOANS,float,0.2,1-3m,,,
asset,Loan 198,815940.37,0.0499,69,LOANS,float,0.73,3-5y,,,
asset,Loan 199,2063244.49,0.0837,77,LOANS,float,0.3,1-3y,,,
asset,Loan 200,767110.39,0.0787,23,LOANS,fixed,0.0,5+y,,,
asset,Loan 201,2970971.74,0.0736,76,LOANS,fixed,0.0,1-3m,,,
asset,Loan 202,3556811.62,0.0459,65,LOANS,float,0.62,1-3y,,,
asset,Loan 203,3481767.53,0.0563,53,LOANS,fixed,0.0,3-5y,,,
asset,Loan 204,901693.58,0.0682,11,LOANS,float,0.85,1-3m,,,
asset,Loan 205,3916361.42,0.0442,79,LOANS,float,0.65,5+y,,,
asset,AFS Bond 206,2905506.02,0.0357,26,AFS,float,0.88,1-3m,,,-0.2249
asset,AFS Bond 207,4778870.93,0.0568,8,AFS,fixed,0.0,5+y,,,
asset,Loan 208,2393316.08,0.0768,17,LOANS,float,0.66,3-6m,,,
asset,Loan 209,1253299.91,0.0821,13,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 210,7337408.32,0.0409,81,AFS,float,0.36,6-12m,,,
asset,Loan 211,3876175.49,0.0387,25,LOANS,fixed,0.0,3-5y,,,
asset,Loan 212,987533.35,0.0371,23,LOANS,float,0.49,<1m,,,
asset,Loan 213,3131232.24,0.0704,20,LOANS,fixed,0.0,6-12m,,,
asset,Loan 214,692109.43,0.0408,10,LOANS,fixed,0.0,6-12m,,,
asset,Loan 215,1503167.95,0.0746,31,LOANS,float,0.85,1-3y,,,
asset,Mortgage 216,2070446.11,0.0347,280,LOANS,fixed,0.0,6-12m,,,
asset,Loan 217,2237364.14,0.0696,44,LOANS,float,0.66,5+y,,,
asset,Loan 218,768600.74,0.0771,18,LOANS,fixed,0.0,<1m,,,
asset,Loan 219,3201380.6,0.071,49,LOANS,fixed,0.0,5+y,,,
asset,Loan 220,2726709.24,0.0889,82,LOANS,fixed,0.0,3-6m,,,
asset,Loan 221,265036.62,0.0794,52,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 222,5198230.31,0.0233,169,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 223,3981013.74,0.0264,109,LOANS,float,0.78,1-3m,,,
asset,Cash,384760.8,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 225,1810676.06,0.0515,55,LOANS,float,0.58,3-6m,,,
asset,AFS Bond 226,1477502.03,0.0531,25,AFS,float,0.96,<1m,,,
asset,Loan 227,2031039.33,0.0332,52,LOANS,fixed,0.0,1-3y,,,
asset,Loan 228,1077065.82,0.0597,27,LOANS,fixed,0.0,1-3y,,,
asset,Mortgage 229,3215572.88,0.0561,280,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 230,667852.94,0.0253,42,AFS,fixed,0.0,1-3y,,,-0.2466
asset,Mortgage 231,5505600.0,0.0371,141,LOANS,float,0.87,5+y,,,
asset,AFS Bond 232,5238010.5,0.0153,13,AFS,float,0.32,<1m,,,
asset,Loan 233,1580109.75,0.0843,63,LOANS,float,0.6,3-6m,,,
asset,Loan 234,3189990.36,0.0674,50,LOANS,float,0.51,3-6m,,,
asset,Loan 235,3405320.18,0.0867,19,LOANS,float,0.54,1-3m,,,
asset,AFS Bond 236,2383246.65,0.0345,11,AFS,fixed,0.0,1-3y,,,-0.1851
asset,Loan 237,650336.44,0.077,10,LOANS,fixed,0.0,1-3m,,,
asset,Loan 238,3663577.96,0.0776,18,LOANS,fixed,0.0,6-12m,,,
asset,Loan 239,3101088.13,0.0354,60,LOANS,fixed,0.0,1-3y,,,
asset,Loan 240,249890.26,0.0358,24,LOANS,float,0.51,1-3y,,,
asset,Loan 241,2935211.93,0.0885,65,LOANS,fixed,0.0,<1m,,,
asset,Loan 242,361312.37,0.0572,12,LOANS,fixed,0.0,6-12m,,,
asset,Mortgage 243,2660696.46,0.0684,331,LOANS,float,0.45,3-6m,,,
asset,Loan 244,958079.22,0.054,31,LOANS,fixed,0.0,<1m,,,
asset,Loan 245,1853365.16,0.0509,60,LOANS,float,0.51,1-3y,,,
asset,Loan 246,312799.37,0.0372,48,LOANS,fixed,0.0,1-3m,,,
asset,Cash,2028768.22,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 248,5052220.18,0.022,61,AFS,float,0.95,6-12m,,,0.4056
asset,Loan 249,765871.51,0.0512,73,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 250,5746079.41,0.0364,13,AFS,fixed,0.0,3-6m,,,0.4355
asset,Loan 251,1817141.47,0.0486,9,LOANS,float,0.64,5+y,,,
asset,Loan 252,642622.22,0.0568,21,LOANS,float,0.67,3-6m,,,
asset,Loan 253,3046286.14,0.0458,75,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 254,1009585.28,0.0472,46,AFS,float,0.7,1-3m,,,
asset,Mortgage 255,4538644.54,0.0358,81,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 256,3509180.16,0.0604,314,LOANS,float,0.65,6-12m,,,
asset,AFS Bond 257,4468909.38,0.0372,14,AFS,fixed,0.0,1-3m,,,0.1951
asset,Loan 258,1868265.91,0.0372,77,LOANS,float,0.47,3-5y,,,
asset,Loan 259,1761371.4,0.0529,25,LOANS,fixed,0.0,1-3m,,,
asset,Loan 260,3819676.19,0.0591,28,LOANS,float,0.37,5+y,,,
asset,Loan 261,895458.27,0.0742,20,LOANS,float,0.61,1-3y,,,
asset,Loan 262,255709.82,0.0727,61,LOANS,float,0.32,5+y,,,
asset,Cash,1684773.51,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 264,1975620.2,0.0609,19,LOANS,fixed,0.0,<1m,,,
asset,Loan 265,3395904.27,0.0696,39,LOANS,fixed,0.0,<1m,,,
asset,AFS Bond 266,7264522.86,0.0396,36,AFS,fixed,0.0,3-6m,,,0.0679
asset,Mortgage 267,4754628.36,0.0486,117,LOANS,float,0.83,<1m,,,
asset,Cash,2410046.15,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 269,3687509.08,0.0513,320,LOANS,float,0.85,<1m,,,
asset,AFS Bond 270,6885504.38,0.0587,44,AFS,float,0.93,1-3y,,,-0.001
asset,Loan 271,3079764.14,0.0571,35,LOANS,float,0.57,1-3y,,,
asset,Cash,2434045.97,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 273,3743526.49,0.0623,9,LOANS,fixed,0.0,3-6m,,,
asset,Loan 274,1791392.8,0.0492,29,LOANS,fixed,0.0,5+y,,,
asset,Loan 275,2341030.56,0.048,16,LOANS,float,0.26,1-3m,,,
asset,Loan 276,2098800.52,0.079,82,LOANS,float,0.75,3-5y,,,
asset,Loan 277,3634484.17,0.039,67,LOANS,float,0.61,3-5y,,,
asset,Mortgage 278,2335672.33,0.0494,120,LOANS,fixed,0.0,3-6m,,,
asset,AFS Bond 279,1163277.36,0.0411,51,AFS,fixed,0.0,6-12m,,,
asset,Loan 280,3618430.55,0.0685,68,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 281,5042399.63,0.0477,230,LOANS,fixed,0.0,3-5y,,,
asset,Loan 282,606633.77,0.0859,11,LOANS,float,0.33,1-3y,,,
asset,AFS Bond 283,5765082.73,0.0277,37,AFS,float,0.57,3-5y,,,-0.4397
asset,Loan 284,2524854.96,0.0315,25,LOANS,float,0.56,<1m,,,
asset,Loan 285,781207.17,0.0503,51,LOANS,float,0.3,1-3y,,,
asset,AFS Bond 286,6691398.54,0.0333,6,AFS,fixed,0.0,1-3y,,,
asset,Cash,2404369.8,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 288,2494386.66,0.033,84,AFS,fixed,0.0,<1m,,,-0.0032
asset,AFS Bond 289,1530945.42,0.0266,73,AFS,float,0.41,6-12m,,,0.2793
asset,Mortgage 290,1340749.3,0.0211,105,LOANS,fixed,0.0,3-6m,,,
asset,Loan 291,3995101.02,0.0368,51,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 292,4997675.47,0.0517,58,AFS,fixed,0.0,<1m,,,0.0334
asset,Loan 293,2005419.47,0.0545,49,LOANS,fixed,0.0,1-3m,,,
asset,Cash,205098.07,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 295,2313916.34,0.0357,8,LOANS,float,0.75,1-3m,,,
asset,Loan 296,3833363.39,0.075,21,LOANS,float,0.3,1-3y,,,
asset,Loan 297,1407957.97,0.0319,43,LOANS,fixed,0.0,3-6m,,,
asset,Loan 298,2355433.47,0.0541,66,LOANS,fixed,0.0,5+y,,,
asset,Mortgage 299,5482878.52,0.0666,324,LOANS,fixed,0.0,1-3m,,,
asset,Mortgage 300,3972735.97,0.0487,339,LOANS,fixed,0.0,1-3y,,,
asset,Cash,1850765.84,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 302,3962937.97,0.0398,40,AFS,fixed,0.0,<1m,,,-0.1401
asset,Loan 303,1772058.0,0.0809,34,LOANS,fixed,0.0,5+y,,,
asset,Loan 304,901890.28,0.0537,75,LOANS,float,0.86,6-12m,,,
asset,Mortgage 305,3692018.77,0.0602,357,LOANS,fixed,0.0,6-12m,,,
asset,Mortgage 306,3747760.58,0.0356,106,LOANS,float,0.6,3-6m,,,
asset,Loan 307,1192631.73,0.0488,20,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 308,4611907.94,0.054,304,LOANS,fixed,0.0,3-6m,,,
asset,Loan 309,3729243.64,0.0833,50,LOANS,fixed,0.0,<1m,,,
asset,Loan 310,498704.04,0.071,35,LOANS,fixed,0.0,5+y,,,
asset,Mortgage 311,4763531.66,0.0478,220,LOANS,float,0.34,1-3m,,,
asset,Loan 312,2895555.18,0.0375,82,LOANS,float,0.43,<1m,,,
asset,Loan 313,229177.66,0.0315,44,LOANS,float,0.76,1-3y,,,
asset,Cash,700522.6,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 315,3697932.1,0.0899,77,LOANS,float,0.75,1-3y,,,
asset,Loan 316,2090513.1,0.033,7,LOANS,float,0.38,5+y,,,
asset,AFS Bond 317,2830565.62,0.0341,62,AFS,float,0.64,3-6m,,,
asset,Loan 318,310899.98,0.057,34,LOANS,float,0.74,1-3m,,,
asset,AFS Bond 319,6539484.7,0.0163,37,AFS,fixed,0.0,5+y,,,
asset,AFS Bond 320,2435664.07,0.0332,29,AFS,float,0.85,5+y,,,
asset,Loan 321,2862274.0,0.0333,83,LOANS,float,0.64,1-3y,,,
asset,Loan 322,3716338.7,0.0305,29,LOANS,float,0.31,<1m,,,
asset,Loan 323,1317626.84,0.0878,67,LOANS,float,0.5,3-5y,,,
asset,Mortgage 324,2553081.33,0.0267,259,LOANS,float,0.63,<1m,,,
asset,Loan 325,872134.56,0.0725,17,LOANS,fixed,0.0,3-6m,,,
asset,AFS Bond 326,6888401.31,0.0517,72,AFS,float,0.67,3-5y,,,
asset,Loan 327,427880.73,0.0756,19,LOANS,fixed,0.0,6-12m,,,
