type,name,amount,rate,duration,category,fixed_float,float_share,repricing_bucket,deposit_beta,stability,convexity
asset,Loan 41,1924232.0,0.0484,21,LOANS,fixed,0.0,3-5y,,,
asset,Loan 42,654308.02,0.0622,30,LOANS,fixed,0.0,1-3m,,,
asset,Mortgage 43,2382498.13,0.0495,159,LOANS,float,0.89,3-6m,,,
asset,Loan 44,881877.87,0.0308,41,LOANS,fixed,0.0,<1m,,,
asset,Cash,1428061.52,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 46,1631397.46,0.0634,66,LOANS,float,0.27,1-3y,,,
asset,Loan 47,2019113.99,0.0504,38,LOANS,fixed,0.0,5+y,,,
asset,Loan 48,3324039.45,0.054,79,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 49,1758635.03,0.0606,187,LOANS,float,0.26,<1m,,,
asset,Mortgage 50,3080870.11,0.0498,327,LOANS,fixed,0.0,6-12m,,,
asset,Loan 51,1882339.82,0.0816,13,LOANS,float,0.41,1-3y,,,
asset,Cash,338160.58,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 53,5191362.73,0.0269,26,AFS,fixed,0.0,1-3m,,,
asset,Loan 54,485246.5,0.0302,66,LOANS,float,0.68,3-6m,,,
asset,Loan 55,1294798.58,0.047,35,LOANS,float,0.25,3-6m,,,
asset,AFS Bond 56,5187935.05,0.0448,60,AFS,fixed,0.0,<1m,,,
asset,Loan 57,2661011.95,0.0845,15,LOANS,fixed,0.0,<1m,,,
asset,Loan 58,1368924.89,0.0749,65,LOANS,float,0.51,3-5y,,,
asset,Loan 59,1729532.37,0.0463,82,LOANS,float,0.51,<1m,,,
asset,AFS Bond 60,6009004.42,0.0422,17,AFS,fixed,0.0,1-3m,,,-0.0487
asset,Cash,2106300.67,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 62,5753931.39,0.07,149,LOANS,float,0.6,6-12m,,,
asset,Loan 63,1880471.74,0.0467,68,LOANS,float,0.64,<1m,,,
asset,Loan 64,1751722.76,0.0493,26,LOANS,fixed,0.0,3-6m,,,
asset,Loan 65,2082782.28,0.0698,76,LOANS,float,0.77,<1m,,,
asset,Loan 66,1395165.2,0.0494,6,LOANS,float,0.81,3-5y,,,
asset,AFS Bond 67,3964822.59,0.0174,69,AFS,float,0.74,3-5y,,,0.266
asset,Loan 68,396124.75,0.046,42,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 69,4135338.48,0.0163,26,AFS,fixed,0.0,3-6m,,,
asset,Mortgage 70,3761257.05,0.0247,296,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 71,1769855.62,0.0666,199,LOANS,float,0.56,6-12m,,,
asset,AFS Bond 72,7851834.74,0.026,55,AFS,fixed,0.0,1-3m,,,-0.3779
asset,AFS Bond 73,4311806.69,0.0546,41,AFS,fixed,0.0,5+y,,,
asset,AFS Bond 74,3612068.18,0.057,42,AFS,float,0.87,3-5y,,,-0.4167
asset,Loan 75,2430363.35,0.0899,63,LOANS,float,0.81,1-3y,,,
asset,Loan 76,1463271.83,0.0758,47,LOANS,float,0.52,5+y,,,
asset,Loan 77,2850494.02,0.0643,58,LOANS,fixed,0.0,<1m,,,
asset,Loan 78,1997309.75,0.0848,25,LOANS,float,0.47,6-12m,,,
asset,Cash,402991.05,0.0,0,CASH,float,1.0,<1m,,,
asset,Cash,896787.29,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 81,3411149.81,0.036,24,LOANS,float,0.21,6-12m,,,
asset,AFS Bond 82,7774675.96,0.0184,56,AFS,float,0.54,3-5y,,,
asset,Loan 83,1448549.24,0.0705,68,LOANS,float,0.87,5+y,,,
asset,Loan 84,2546345.95,0.0441,17,LOANS,float,0.9,6-12m,,,
asset,Cash,1924887.26,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 86,1502536.2,0.0283,83,LOANS,float,0.83,3-6m,,,
asset,AFS Bond 87,2700258.32,0.0319,37,AFS,fixed,0.0,1-3y,,,-0.1121
asset,Loan 88,2790841.41,0.0408,16,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 89,5147827.76,0.0258,35,AFS,fixed,0.0,6-12m,,,0.4449
asset,Mortgage 90,3297852.5,0.0533,339,LOANS,float,0.83,1-3m,,,
asset,Loan 91,3791895.41,0.0893,60,LOANS,float,0.65,3-5y,,,
asset,Loan 92,3412154.92,0.042,19,LOANS,float,0.8,1-3m,,,
asset,Loan 93,1564044.8,0.0478,56,LOANS,float,0.22,3-6m,,,
asset,Loan 94,3487256.11,0.0767,83,LOANS,fixed,0.0,3-5y,,,
asset,Loan 95,3635790.11,0.0472,83,LOANS,fixed,0.0,5+y,,,
asset,Loan 96,2619147.94,0.0673,18,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 97,2544664.42,0.042,106,LOANS,float,0.71,3-6m,,,
asset,Loan 98,1778911.75,0.042,40,LOANS,float,0.57,5+y,,,
asset,Loan 99,3673386.02,0.0867,49,LOANS,float,0.72,5+y,,,
asset,Loan 100,3858994.51,0.0384,56,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 101,3243312.87,0.0506,39,AFS,fixed,0.0,1-3y,,,
asset,Loan 102,1600625.5,0.0749,53,LOANS,float,0.61,<1m,,,
asset,Mortgage 103,3357384.34,0.051,173,LOANS,float,0.84,3-5y,,,
asset,Loan 104,3330650.34,0.0846,20,LOANS,float,0.65,1-3m,,,
asset,Loan 105,341406.09,0.0898,18,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 106,1517480.37,0.0354,25,AFS,float,0.71,6-12m,,,
asset,Mortgage 107,5168465.42,0.0508,249,LOANS,float,0.22,1-3m,,,
asset,Loan 108,3812109.65,0.0813,53,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 109,5336201.07,0.0177,21,AFS,float,0.43,5+y,,,
asset,AFS Bond 110,1187550.68,0.0245,12,AFS,fixed,0.0,5+y,,,
asset,Loan 111,3957519.43,0.0772,14,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 112,2053680.28,0.0247,48,AFS,fixed,0.0,5+y,,,
asset,Loan 113,3622017.94,0.0302,22,LOANS,fixed,0.0,1-3y,,,
asset,Loan 114,863089.06,0.0697,22,LOANS,fixed,0.0,<1m,,,
asset,Loan 115,3196039.83,0.0653,28,LOANS,fixed,0.0,3-6m,,,
asset,Loan 116,3018528.62,0.0616,66,LOANS,fixed,0.0,6-12m,,,
asset,AFS Bond 117,4349284.68,0.0199,84,AFS,fixed,0.0,<1m,,,
asset,Mortgage 118,5543758.44,0.0529,75,LOANS,float,0.52,<1m,,,
asset,Cash,2133516.5,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 120,610254.95,0.0727,16,LOANS,float,0.25,3-6m,,,
asset,Mortgage 121,1328411.17,0.0338,331,LOANS,float,0.47,3-6m,,,
asset,Loan 122,2500621.81,0.036,76,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 123,3725524.56,0.055,64,AFS,float,0.54,6-12m,,,-0.1579
asset,Loan 124,561326.19,0.0556,25,LOANS,float,0.46,3-5y,,,
asset,AFS Bond 125,1003499.81,0.0524,61,AFS,fixed,0.0,<1m,,,0.1895
asset,Mortgage 126,2863234.3,0.0265,360,LOANS,fixed,0.0,1-3y,,,
asset,Mortgage 127,4350066.32,0.0405,86,LOANS,float,0.81,3-6m,,,
asset,Mortgage 128,2758230.93,0.0489,139,LOANS,fixed,0.0,3-5y,,,
asset,Loan 129,3419644.42,0.051,41,LOANS,float,0.28,1-3y,,,
asset,Loan 130,1830627.16,0.0637,83,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 131,2505857.94,0.0231,50,AFS,float,0.95,<1m,,,0.4911
asset,Loan 132,744355.66,0.0694,24,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 133,1153285.49,0.0573,252,LOANS,fixed,0.0,6-12m,,,
asset,Loan 134,798155.25,0.0487,78,LOANS,float,0.74,1-3y,,,
asset,Loan 135,399913.54,0.0394,16,LOANS,fixed,0.0,3-6m,,,
asset,Loan 136,1811256.14,0.0664,71,LOANS,float,0.39,<1m,,,
asset,Loan 137,621381.13,0.0707,45,LOANS,float,0.57,<1m,,,
asset,Loan 138,3940893.5,0.0333,44,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 139,6231206.72,0.028,6,AFS,fixed,0.0,6-12m,,,
asset,Mortgage 140,1878474.01,0.039,316,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 141,6546501.4,0.0182,61,AFS,fixed,0.0,<1m,,,-0.1598
asset,Loan 142,495877.93,0.0488,59,LOANS,float,0.6,3-6m,,,
asset,Loan 143,279254.92,0.0495,52,LOANS,float,0.78,<1m,,,
asset,Loan 144,602279.91,0.0561,56,LOANS,float,0.57,5+y,,,
asset,Loan 145,1490150.47,0.05,15,LOANS,fixed,0.0,1-3y,,,
asset,Mortgage 146,3653024.1,0.0297,135,LOANS,float,0.45,1-3m,,,
asset,Loan 147,1172679.24,0.0404,15,LOANS,fixed,0.0,1-3m,,,
asset,Cash,1607077.05,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 149,2342194.84,0.0648,46,LOANS,float,0.8,1-3m,,,
asset,Loan 150,1981900.12,0.0679,51,LOANS,float,0.61,1-3y,,,
asset,Loan 151,1954621.45,0.0323,15,LOANS,float,0.78,3-5y,,,
asset,AFS Bond 152,6914700.29,0.0427,76,AFS,float,0.62,5+y,,,0.2568
asset,Mortgage 153,1205113.57,0.0655,224,LOANS,fixed,0.0,1-3y,,,
asset,Loan 154,773272.09,0.0337,49,LOANS,fixed,0.0,3-5y,,,
asset,Loan 155,2655282.95,0.0323,73,LOANS,float,0.89,1-3y,,,
asset,Mortgage 156,2819489.8,0.0659,233,LOANS,float,0.49,3-5y,,,
asset,Mortgage 157,4946134.66,0.0524,228,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 158,2932821.02,0.0326,230,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 159,1707141.9,0.0375,103,LOANS,float,0.29,3-6m,,,
asset,Mortgage 160,4217466.32,0.0364,329,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 161,3117031.83,0.0381,169,LOANS,float,0.42,3-6m,,,
asset,AFS Bond 162,4147031.91,0.0252,25,AFS,fixed,0.0,<1m,,,0.0124
asset,Loan 163,3194856.66,0.0605,49,LOANS,fixed,0.0,5+y,,,
asset,Mortgage 164,3986232.21,0.0277,144,LOANS,fixed,0.0,3-5y,,,
asset,Loan 165,1761262.72,0.0706,62,LOANS,fixed,0.0,1-3y,,,
asset,Loan 166,3044438.77,0.0569,45,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 167,7279807.54,0.0237,42,AFS,float,0.62,5+y,,,
asset,Loan 168,2204347.2,0.088,83,LOANS,fixed,0.0,1-3m,,,
asset,AFS Bond 169,891348.52,0.0366,19,AFS,float,0.69,3-5y,,,-0.3099
asset,AFS Bond 170,6883745.36,0.0278,40,AFS,fixed,0.0,6-12m,,,
asset,AFS Bond 171,1605114.92,0.0347,63,AFS,fixed,0.0,3-6m,,,
asset,AFS Bond 172,3611726.79,0.0328,16,AFS,float,0.47,3-6m,,,
asset,Loan 173,1411002.53,0.0359,23,LOANS,float,0.75,<1m,,,
asset,Loan 174,3353094.02,0.0718,66,LOANS,fixed,0.0,6-12m,,,
asset,Mortgage 175,5529287.45,0.021,136,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 176,5066600.74,0.034,21,AFS,float,0.47,<1m,,,0.493
asset,Loan 177,2628016.58,0.0674,20,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 178,4975542.82,0.0157,24,AFS,fixed,0.0,3-6m,,,0.157
asset,Loan 179,2536276.41,0.0444,16,LOANS,float,0.33,1-3y,,,
asset,Cash,262430.37,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 181,2127845.25,0.0893,55,LOANS,fixed,0.0,5+y,,,
asset,Loan 182,2615549.01,0.0889,51,LOANS,float,0.72,5+y,,,
asset,Loan 183,1116278.51,0.0694,80,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 184,1500571.92,0.0309,28,AFS,float,0.87,5+y,,,
asset,AFS Bond 185,3984671.75,0.0463,23,AFS,fixed,0.0,<1m,,,0.2708
asset,Mortgage 186,5718025.75,0.0218,82,LOANS,fixed,0.0,5+y,,,
asset,Loan 187,359242.58,0.086,75,LOANS,float,0.89,6-12m,,,
asset,Loan 188,3062505.49,0.0415,12,LOANS,float,0.8,5+y,,,
asset,Mortgage 189,2366083.03,0.06,285,LOANS,float,0.82,6-12m,,,
asset,Loan 190,909905.43,0.0715,72,LOANS,float,0.85,3-6m,,,
asset,AFS Bond 191,5953109.93,0.0186,75,AFS,fixed,0.0,3-6m,,,0.1425
asset,Loan 192,504261.86,0.0697,60,LOANS,float,0.51,1-3m,,,
asset,Mortgage 193,2757734.92,0.0221,282,LOANS,float,0.63,3-6m,,,
asset,Mortgage 194,4957389.14,0.0229,141,LOANS,float,0.45,<1m,,,
asset,Loan 195,2508777.03,0.0769,22,LOANS,fixed,0.0,<1m,,,
asset,Loan 196,2651618.93,0.0517,83,LOANS,fixed,0.0,1-3m,,,
asset,Mortgage 197,5744117.65,0.0386,353,LOANS,fixed,0.0,1-3m,,,
asset,Loan 198,1712529.37,0.069,20,LOANS,fixed,0.0,<1m,,,
asset,Mortgage 199,3495219.8,0.0393,194,LOANS,fixed,0.0,5+y,,,
asset,Loan 200,1895837.83,0.0898,68,LOANS,float,0.69,1-3m,,,
asset,Loan 201,3440739.9,0.0571,46,LOANS,float,0.9,3-5y,,,
asset,Loan 202,446768.5,0.0625,28,LOANS,float,0.8,5+y,,,
asset,Loan 203,1052118.14,0.0891,36,LOANS,fixed,0.0,5+y,,,
asset,Loan 204,1571406.79,0.0643,76,LOANS,float,0.76,1-3m,,,
asset,Mortgage 205,1431077.41,0.0355,269,LOANS,float,0.57,5+y,,,
asset,Mortgage 206,1626633.91,0.0359,290,LOANS,fixed,0.0,6-12m,,,
asset,Mortgage 207,2722573.9,0.0639,126,LOANS,fixed,0.0,6-12m,,,
asset,Loan 208,3499204.18,0.0799,44,LOANS,fixed,0.0,1-3m,,,
asset,Loan 209,3752003.78,0.0435,38,LOANS,float,0.79,1-3m,,,
asset,Mortgage 210,3754207.08,0.0263,107,LOANS,float,0.63,1-3y,,,
asset,Mortgage 211,3959042.23,0.049,232,LOANS,fixed,0.0,5+y,,,
asset,AFS Bond 212,808957.28,0.0539,11,AFS,fixed,0.0,3-5y,,,-0.458
asset,AFS Bond 213,2484919.31,0.0245,9,AFS,float,0.73,6-12m,,,-0.4963
asset,AFS Bond 214,4591831.13,0.0439,57,AFS,float,0.64,3-6m,,,0.4877
asset,Loan 215,2816731.57,0.0395,32,LOANS,float,0.54,3-6m,,,
asset,Mortgage 216,2562912.5,0.0559,126,LOANS,float,0.88,5+y,,,
asset,Loan 217,2334274.62,0.0491,63,LOANS,float,0.29,1-3m,,,
asset,Loan 218,392300.11,0.0867,26,LOANS,float,0.37,5+y,,,
asset,Loan 219,2395210.74,0.0488,69,LOANS,fixed,0.0,1-3y,,,
asset,Loan 220,3540487.52,0.0598,56,LOANS,fixed,0.0,1-3y,,,
asset,Loan 221,1114768.83,0.065,12,LOANS,fixed,0.0,3-6m,,,
asset,Loan 222,3552890.01,0.0693,7,LOANS,float,0.4,5+y,,,
asset,Loan 223,708952.79,0.0459,52,LOANS,float,0.73,<1m,,,
asset,Loan 224,2367070.25,0.0417,70,LOANS,float,0.25,6-12m,,,
asset,AFS Bond 225,2597905.08,0.0595,22,AFS,fixed,0.0,<1m,,,
asset,Loan 226,3220609.47,0.0503,31,LOANS,float,0.73,1-3y,,,
asset,Loan 227,2100296.03,0.0327,48,LOANS,fixed,0.0,5+y,,,
asset,Loan 228,1936556.53,0.0664,47,LOANS,fixed,0.0,1-3y,,,
asset,Loan 229,1693227.43,0.067,70,LOANS,float,0.62,5+y,,,
asset,Loan 230,2061417.28,0.0638,53,LOANS,float,0.77,3-6m,,,
asset,Mortgage 231,5899490.16,0.0492,302,LOANS,fixed,0.0,3-6m,,,
asset,Cash,1978969.58,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 233,4832257.97,0.0475,54,AFS,float,0.42,1-3m,,,
asset,AFS Bond 234,2316474.2,0.0408,30,AFS,fixed,0.0,<1m,,,0.3375
asset,Loan 235,1791365.13,0.0548,58,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 236,7403907.12,0.0543,23,AFS,fixed,0.0,1-3y,,,
asset,Loan 237,1435188.23,0.0697,28,LOANS,float,0.42,6-12m,,,
asset,AFS Bond 238,3067452.63,0.0309,30,AFS,float,0.73,1-3m,,,
asset,Loan 239,1334296.81,0.0865,32,LOANS,float,0.74,3-5y,,,
asset,Mortgage 240,2585203.73,0.0374,353,LOANS,float,0.4,3-5y,,,
asset,Loan 241,3603889.75,0.0537,24,LOANS,float,0.87,3-6m,,,
asset,Loan 242,3830192.13,0.0347,67,LOANS,float,0.66,1-3m,,,
asset,Loan 243,2246596.11,0.086,84,LOANS,float,0.3,3-5y,,,
asset,Mortgage 244,2212290.19,0.0535,179,LOANS,fixed,0.0,<1m,,,
asset,Loan 245,1455115.77,0.0583,6,LOANS,fixed,0.0,1-3y,,,
asset,Cash,479058.58,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 247,5403237.29,0.0438,207,LOANS,fixed,0.0,3-6m,,,
asset,Loan 248,424817.83,0.0761,74,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 249,5683346.9,0.0657,273,LOANS,fixed,0.0,5+y,,,
asset,Loan 250,3694612.29,0.0898,29,LOANS,float,0.75,3-5y,,,
asset,Cash,2322495.27,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 252,569503.76,0.0406,48,AFS,fixed,0.0,3-6m,,,0.343
asset,Loan 253,2636987.16,0.0615,70,LOANS,fixed,0.0,6-12m,,,
asset,Loan 254,3273492.74,0.0498,29,LOANS,float,0.65,<1m,,,
asset,Mortgage 255,4953838.32,0.0484,149,LOANS,fixed,0.0,1-3y,,,
asset,AFS Bond 256,7227820.71,0.0522,18,AFS,float,0.36,1-3m,,,0.0614
asset,Cash,1245889.84,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 258,551225.9,0.0323,48,AFS,float,0.83,3-6m,,,-0.3642
asset,Mortgage 259,3864386.74,0.0331,91,LOANS,float,0.68,3-5y,,,
asset,Loan 260,1365864.1,0.0543,43,LOANS,float,0.68,3-6m,,,
asset,Mortgage 261,2095643.0,0.0267,292,LOANS,fixed,0.0,3-5y,,,
asset,Cash,996699.62,0.0,0,CASH,float,1.0,<1m,,,
asset,Mortgage 263,5563984.44,0.0579,186,LOANS,fixed,0.0,3-5y,,,
asset,AFS Bond 264,7048512.94,0.0187,52,AFS,float,0.67,<1m,,,0.4961
asset,AFS Bond 265,1341565.94,0.0523,79,AFS,fixed,0.0,1-3y,,,
asset,Loan 266,1446847.02,0.0612,32,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 267,1454708.22,0.0455,292,LOANS,fixed,0.0,1-3m,,,
asset,Loan 268,1935834.21,0.0335,45,LOANS,float,0.67,3-5y,,,
asset,Loan 269,1166937.43,0.0302,80,LOANS,fixed,0.0,<1m,,,
asset,Loan 270,1509209.69,0.0338,14,LOANS,fixed,0.0,6-12m,,,
asset,Loan 271,1753694.36,0.0761,54,LOANS,float,0.46,6-12m,,,
asset,AFS Bond 272,7300754.84,0.0319,50,AFS,fixed,0.0,<1m,,,0.1249
asset,Loan 273,2241582.25,0.0617,6,LOANS,fixed,0.0,5+y,,,
asset,Loan 274,1333779.36,0.0704,35,LOANS,float,0.57,1-3m,,,
asset,Loan 275,789461.22,0.0413,10,LOANS,fixed,0.0,5+y,,,
asset,Mortgage 276,4074616.04,0.0668,183,LOANS,fixed,0.0,1-3m,,,
asset,Loan 277,2456987.76,0.0568,37,LOANS,fixed,0.0,3-5y,,,
asset,Loan 278,1868058.68,0.0624,23,LOANS,fixed,0.0,1-3y,,,
asset,Cash,661987.64,0.0,0,CASH,float,1.0,<1m,,,
asset,AFS Bond 280,4820827.52,0.041,24,AFS,float,0.47,3-5y,,,0.3352
asset,Loan 281,1771528.78,0.0465,60,LOANS,fixed,0.0,1-3y,,,
asset,Loan 282,3894702.89,0.0865,46,LOANS,float,0.75,3-5y,,,
asset,Loan 283,767026.91,0.0526,34,LOANS,float,0.37,3-6m,,,
asset,AFS Bond 284,1582638.12,0.0358,77,AFS,fixed,0.0,6-12m,,,-0.1879
asset,Cash,1437488.22,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 286,1122862.36,0.0422,63,LOANS,fixed,0.0,5+y,,,
asset,Loan 287,2235415.04,0.0798,40,LOANS,fixed,0.0,6-12m,,,
asset,Mortgage 288,4014610.22,0.0637,360,LOANS,fixed,0.0,3-5y,,,
asset,Mortgage 289,2085082.61,0.0304,67,LOANS,float,0.41,1-3m,,,
asset,AFS Bond 290,7715581.67,0.0203,83,AFS,float,0.94,3-5y,,,
asset,Loan 291,3677480.55,0.0631,74,LOANS,float,0.47,3-5y,,,
asset,Loan 292,1193934.18,0.0608,66,LOANS,float,0.53,5+y,,,
asset,AFS Bond 293,7357478.74,0.0317,34,AFS,float,0.33,3-5y,,,0.3587
asset,Loan 294,1190941.62,0.0861,31,LOANS,float,0.41,3-6m,,,
asset,Loan 295,2365200.15,0.0447,68,LOANS,float,0.38,3-5y,,,
asset,Mortgage 296,3452977.91,0.0284,339,LOANS,float,0.32,6-12m,,,
asset,Loan 297,3579585.21,0.0894,73,LOANS,fixed,0.0,<1m,,,
asset,AFS Bond 298,1057478.09,0.0518,6,AFS,fixed,0.0,6-12m,,,-0.1998
asset,Loan 299,2596666.26,0.0341,7,LOANS,fixed,0.0,1-3m,,,
asset,Loan 300,1618162.63,0.0671,8,LOANS,float,0.66,<1m,,,
asset,Loan 301,1763086.33,0.031,42,LOANS,float,0.58,<1m,,,
asset,Loan 302,2851864.49,0.0558,19,LOANS,fixed,0.0,<1m,,,
asset,Loan 303,1115681.56,0.0672,40,LOANS,float,0.77,5+y,,,
asset,Loan 304,1617596.02,0.0544,34,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 305,5239335.51,0.0527,107,LOANS,fixed,0.0,6-12m,,,
asset,Loan 306,2300265.47,0.0334,27,LOANS,fixed,0.0,<1m,,,
asset,Loan 307,1848856.68,0.0771,73,LOANS,fixed,0.0,<1m,,,
asset,Loan 308,3624837.24,0.0715,15,LOANS,float,0.39,3-5y,,,
asset,AFS Bond 309,7244837.38,0.0404,28,AFS,fixed,0.0,5+y,,,
asset,Loan 310,3853582.92,0.0652,44,LOANS,float,0.85,1-3m,,,
asset,Mortgage 311,3833479.6,0.0625,131,LOANS,float,0.47,5+y,,,
asset,Cash,1837992.57,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 313,3902428.64,0.0332,15,LOANS,float,0.36,3-6m,,,
asset,Mortgage 314,4069326.17,0.0498,199,LOANS,float,0.22,5+y,,,
asset,Cash,1277448.29,0.0,0,CASH,float,1.0,<1m,,,
asset,Loan 316,3776342.81,0.0559,43,LOANS,float,0.26,5+y,,,
asset,Loan 317,479325.4,0.0461,25,LOANS,float,0.7,3-5y,,,
asset,Loan 318,1570660.87,0.0355,40,LOANS,float,0.51,<1m,,,
asset,Loan 319,912088.78,0.0569,17,LOANS,float,0.27,3-6m,,,
asset,Mortgage 320,3984622.78,0.0592,271,LOANS,float,0.21,6-12m,,,
asset,AFS Bond 321,5936328.83,0.0402,79,AFS,fixed,0.0,1-3y,,,-0.2417
asset,Loan 322,1646781.69,0.0383,24,LOANS,float,0.39,<1m,,,
asset,Loan 323,1248655.11,0.048,52,LOANS,fixed,0.0,3-6m,,,
asset,AFS Bond 324,5906745.89,0.0373,64,AFS,fixed,0.0,<1m,,,-0.347
asset,Loan 325,225716.0,0.0537,48,LOANS,float,0.76,6-12m,,,
asset,Loan 326,3298806.79,0.0816,44,LOANS,fixed,0.0,3-6m,,,
asset,Mortgage 327,4476461.48,0.044,263,LOANS,fixed,0.0,3-6m,,,
asset,Loan 328,2840839.52,0.0595,47,LOANS,fixed,0.0,6-12m,,,
